Key,English
scenario.captured_wife,Tahanan
scenario.surrounded_by_enemies,Dikelilingi Musuh
scenario.peacepul_dolina,Lembah Damai
scenario.everything_is_lost,Semua Hilang
scenario.slave_owner,Pemilik Penjara
main_menu.new_game.province.game_params.crisis,Krisis
main_menu.new_game.province.game_params.crisis.no_crisis,Tanpa Krisis
main_menu.new_game.province.game_params.crisis.unholy_horde,Gerombolan Terkutuk
main_menu.new_game.province.game_params.crisis.pandemic,Pandemi
main_menu.new_game.province.game_params.crisis.religious_war,Perang Agama
main_menu.new_game.province.game_params.crisis.long_winter,Musim Dingin Panjang
main_menu.new_game.province.game_params.mutators,Modifikasi
mutator.wave_fanatism,Gelombang Fanatisme
mutator.after_war,Pasca Perang
mutator.decline_of_trade,Penurunan Perdagangan
mutator.power_of_crowd,Kekuatan dalam Jumlah
mutator.fast_metabolism,Metabolisme Cepat
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Atur
main_menu.new_game.family_editor.erethic,Bidah
main_menu.new_game.province.game_params.adv_neighbours_settings,Pengaturan Tetangga Lanjutan
main_menu.new_game.province.game_params.header,Parameter Permainan
main_menu.new_game.province.header,Pilih Provinsi Awal Anda
main_menu.new_game.province.header.back_to_select_mode,Atur Provinsi Anda dan Lainnya
main_menu.new_game.province.header.next,Selanjutnya
main_menu.new_game.province.banner,Panji
main_menu.new_game.province.difficulty,Kesulitan
main_menu.new_game.province.difficulty.peaceful,Mode Damai
main_menu.new_game.province.difficulty.normal,Normal
main_menu.new_game.hardcore_start,Hardcore
main_menu.new_game.province.difficulty.ironman,Kemauan Besi
main_menu.new_game.province.neighbours.caution.careful,Hati-hati
main_menu.new_game.province.neighbours.caution.risky,Berisiko
main_menu.new_game.province.neighbours.caution.balanced,Seimbang
main_menu.new_game.province.neighbours.pacifism.default,Normal
main_menu.new_game.province.neighbours.pacifism.peaceful,Damai
main_menu.new_game.province.neighbours.city_size,Ukuran Kota Awal
main_menu.new_game.province.neighbours.army_power,Kekuatan Pasukan
main_menu.new_game.province.neighbours.enemy,Tidak Suka
main_menu.new_game.province.neighbours.friend,Simpati
main_menu.new_game.province.neighbours.neutral,Netral
main_menu.new_game.province.kingdom.culture.gwelts,Kaiden
main_menu.new_game.province.kingdom.culture.tanaya,Tanaya
main_menu.new_game.province.kingdom.culture.makha,Makha
main_menu.new_game.province.kingdom.culture.voruns,Varn
main_menu.new_game.province.neighbours.abandoned_town,Kota Terbengkalai
main_menu.new_game.province.neighbours.empty,Pilih Tetangga
main_menu.new_game.family.banner.sign_color,Warna Tanda
main_menu.new_game.family.banner.pattern,Pola
main_menu.new_game.family.banner.sign,Tanda
main_menu.new_game.family.look.body,Tubuh
main_menu.new_game.family.look.skin_color,Warna Kulit
main_menu.new_game.family.look.hair_color,Warna Rambut
main_menu.new_game.family.look.beard,Janggut
main_menu.new_game.family.look.haircut,Gaya Rambut
main_menu.new_game.family.look.head,Kepala
main_menu.new_game.family.look.sex,Jenis Kelamin
main_menu.new_game.family.look.random,Tampilan Acak
main_menu.new_game.family.character_traits,Sifat Karakter
main_menu.new_game.family.skills,Keterampilan
main_menu.new_game.family.overall_skills,Keterampilan Keseluruhan
main_menu.new_game.soft_onboarding,Awal Mudah
main_menu.new_game.family.members,Anggota Keluarga
main_menu.new_game.family.members.husband_wife_child,"Suami, istri, anak"
main_menu.new_game.family.members.two_sis_and_son,Dua saudari dan seorang putra
main_menu.new_game.family.members.two_bro,Dua saudara
main_menu.new_game.family.members.three_sisters,Tiga saudari
main_menu.new_game.family.members.father_three_doughters,Ayah dan putri
main_menu.new_game.family_settings,Pengaturan Keluarga
main_menu.ng_world_should_generate,Hasilkan Dunia
main_menu.ng_select_map,Pilih Peta
main_menu.ng_save_name,Masukkan nama file simpanan
main_menu.save_load.delete,Hapus
main_menu.save_load.deleted,Dihapus
main_menu.save_load.save_as.desc2,Biarkan kosong untuk menyimpan dengan nama file peta saat ini
main_menu.save_load.save_as.desc,Nama file simpanan baru
main_menu.save_load.save_as,Simpanan Baru
main_menu.save_load.rewrite,Timpa
main_menu.save_load.save,Simpan
main_menu.save_load.load,Muat
main_menu.save_load.autosave_morning,Pagi
main_menu.save_load.autosave_evening,Sore
main_menu.mods,Mod
main_menu.credits,Kredit
main_menu.discord,Discord
main_menu.leave_feedback,Masukan
main_menu.feedback.send,Berikan
main_menu.exit,Keluar
main_menu.settings,Pengaturan
main_menu.load_game,Muat Permainan
main_menu.start_tutorial,Tutorial
main_menu.start_new_game,Permainan Baru
main_menu.continue_last_game,Lanjutkan
main_menu.save_and_exit,Simpan & Keluar
main_menu.start,Mulai
main_menu.back,Kembali
menu.problems,Masalah
adv_tutorial.obj_build_sawmill_place_text,Bangun Penggergajian di sini
adv_tutorial.obj_build_field_place_text,Tempatkan Ladang Lobak di sini
adv_tutorial.obj_build_taverna_place_text,Bangun Kedai Minum di sini
adv_tutorial.obj_build_generic_place_text,Tempatkan di sini
notification.tutorial.ambush,Para bandit sedang menyerang!
loading_screen,Memuat... Mohon tunggu.
loading_screen.ingame.misc_loading,Memuat Data
loading_screen.ingame.gui_init,Membuat GUI
loading_screen.ingame.save_game_load,Memuat Permainan Tersimpan
loading_screen.ingame.new_game_load,Menginisialisasi Permainan Baru
loading_screen.ingame.gui_system,Menginisialisasi Sistem GUI
loading_screen.ingame.map_cells,Membuat Sel Peta
loading_screen.ingame.trade_manager,Menginisialisasi Manajer Perdagangan
loading_screen.ingame.local_map_controller,Memuat Pengendali Peta Lokal
loading_screen.ingame.province_controller,Memuat Data Provinsi
loading_screen.ingame.global_map,Memuat Peta Eksternal
loading_screen.ingame.battle_injuty_lottery,Memuat Peluang Cedera Tempur
loading_screen.ingame.game_system_init,Menginisialisasi Sistem Dalam Game
loading_screen.ingame_unloading,Membongkar Sumber Daya Dalam Game
loading_screen.caching_textures,Menyimpan Tekstur
loading_screen.game_vars,Memuat Variabel Permainan
loading_screen.audio,Menjalankan Sistem Audio
loading_screen.animations,Memuat Animasi
loading_screen.building_assets,Memuat Aset Bangunan
loading_screen.actor_assets,Memuat Aset Aktor
loading_screen.traits,Memuat Sifat Karakter
loading_screen.minds,Memuat Pikiran
loading_screen.tantrums,Memuat Amukan
loading_screen.activity,Memuat Aktivitas
loading_screen.game_data,Memuat Data Dalam Game
loading_screen.building_constructions,Memuat Konstruksi Bangunan
loading_screen.banners,Memuat Spanduk
loading_screen.gui,Memuat GUI
loading_screen.hints,Memuat Petunjuk
loading_screen.rich_string,Memuat String Kaya
loading_screen.knowledge_localization,Memuat Lokalisasi Pengetahuan
loading_screen.saves_and_maps,Memuat Daftar Dunia dan Simpanan
loading_screen.done,Memuat Selesai.
encyclopedia.help,Bantuan
encyclopedia.category.battle,Pertempuran
encyclopedia.category.economics,Ekonomi
encyclopedia.category.characters,Karakter
encyclopedia.category.mechanics,Mekanisme
encyclopedia.category.hints,Petunjuk
encyclopedia.category.global_map,Peta
encyclopedia.search,Cari...
action_task.skill_training_caption,Mengajar {skill_name}
actor.relations.filter.location,Di Sekitar
actor.relations.filter.kings,Raja
actor.relations.filter.friends,Teman
actor.relations.filter.enemies,Musuh
actor.relations.filter.can_seduce,Dapat digoda
action_task.category.king,Raja
action_task.category.social,Sosial
action_task.category.bishop,Uskup
action_task.sub_category.social,Komunikasi
action_task.sub_category.intrigue,Intrik
actor.action_task.begging,Memohon pengampunan
actor.action_task.nominate_enemy,Nyatakan sebagai musuh
actor.action_task_hunt,Berburu Serigala Daging
actor.action_task_sick_visit,Kunjungi orang sakit
actor.action_task.marriage,Menikah
actor.action_task.bribe,Menyuap
actor.action_task.punish,Menghukum
actor.action_task.reward,Memberi hadiah
actor.action_task.rumors,Menyebarkan rumor
actor.action_task.spent_time,Menghabiskan waktu
actor.action_task.invite,Mengundang
actor.action_task.teach,Mendidik
actor.action_task.threat,Mengancam
actor.action_task.trade,Berdagang
actor.action_task.make_free,Membebaskan
actor.action_task.seduction,Menggoda
actor.action_task.donate,Hadiah untuk raja
actor.action_task.kill,Membunuh
actor.action_task.poison,Meracuni
actor.action_task.play_dice,Bermain dadu
actor.action_task.depart,Membuang
actor.action_task.duel_call,Tantang duel
actor.action_task.duel_provocation,Provokasi duel
actor.action_task.free_lord_hire,Menyewa seorang bangsawan
actor.action_task.send_guest,Mengirim tamu
actor.action_task.king_tribute,Persembahan
actor.action_task.confession,Mengaku dosa
actor.action_task.kidnap,Menangkap
actor.action_task.free_captive,Membebaskan
actor.action_task.forced_sex,Memaksa berhubungan
actor.action_task.appoint_an_heir,Nyatakan sebagai pewaris
actor.action_task.go_home,Kirim pulang
actor.action_task.sex_with_dummy,Usulan
actor.action_task.new_heir,Angkat sebagai pewaris
actor.action_task.canonization,Berkat
actor.action_task.divorce,Bercerai
actor.action_task.consolation,Menghibur
actor.action_task.give_title_to_hired_free_lord,Memberi gelar
actor.action_task.give_title_to_soldier,Memberi gelar
actor.action_task.take_title,Cabut gelar bangsawan
actor.action_task.join_captive,Bebaskan dan terima
actor.action_task.new_king,Serahkan mahkota
actor.appoint_in_town,Di {town_name}
actor.appoint_in_this_town,Di kota ini
actor.appoint.our_lords,Para bangsawan kita
actor.appoint.other_lords,Bangsawan lain
actor.action.training,Pelatihan
actor.action.conversation,Negosiasi
actor.action.army.on_local_map,Di peta lokal
actor.action.army.on_global_map,Di peta global
actor.action.army,Tentara
actor.action.executor,Aktor
actor.action.executor_replace,Ganti
actor.action.teacher,Guru
actor.action.chancellery_any,Kantor Kanselir mana saja
actor.action.punishment,Hukuman
actor.action.teach,Belajar
actor.action.person,Siapa?
actor.action.different_actions,Aksi
actor.action.trade,Perdagangan
actor.action_task.invite_guest,Undang ke provinsimu
actor.status.on_global_map,Di peta global
actor.status.on_global_map_lost,Hilang
actor.status.in_army,Dalam pasukan di peta global
actor.status.in_travel,Bepergian
actor.status.in_object,Di {object_name}
actor.adjective.addicted_to_drink,Cenderung suka minum
actor.adjective.ambitious,Ambisius
actor.adjective.angry,Pendendam
actor.adjective.arrogant,Sombong
actor.adjective.ascetic,Asketis
actor.adjective.bloodthirsty,Haus darah
actor.adjective.contemptuous,Meremehkan
actor.adjective.contradictory,Kontradiktif
actor.adjective.emotional,Emosional
actor.adjective.envious,Iri
actor.adjective.friendly,Bersahabat
actor.adjective.frivolous,Ceria
actor.adjective.greedy,Serakah
actor.adjective.indifferent,Acuh tak acuh
actor.adjective.intemperate,Impulsif
actor.adjective.jealous,Cemburu
actor.adjective.mean,Dengki
actor.adjective.melancholy,Melankolis
actor.adjective.sarcastic,Sarkastik
actor.adjective.subtle,Berbudi halus
actor.adjective.trusting,Mudah percaya
actor.adjective.weakpowered,Lemah
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>Serangan tanpa alasan terhadap petani akan menyebabkan <hint=hint_terror_peasants>teror</hint></red>
actor.appoint.nominate_enemy.lord,<red>Serangan tanpa alasan terhadap bangsawan akan menyebabkan <hint=hint_terror_lord>teror</hint></red>
actor.appoint.nominate_enemy.guest,"<red>Menyerang tamu, apa pun tindakan mereka, akan dianggap sebagai pelanggaran hukum sakral tentang keramahtamahan.</red>

$ Hubungan antara {soul_uuid_performer_king} dan {soul_uuid_target}: <red>{relations_modify_target}

</b>PETUNJUK</b>: Untuk menyelesaikan konflik, sebaiknya gunakan <hint=hint_duel>duel</hint>."
actor.appoint.nominate_enemy.bishop,"<red>Serangan terhadap anggota Keluarga Penuh Kasih, apa pun yang telah mereka lakukan, akan dianggap sebagai alasan bagi kota Anda untuk dihukum oleh <hint=hint_inquisitors>Inkuisisi</hint></red>"
actor.age,{age} tahun
actor.age_short,{age} th
actor.class.unarmed,Tanpa Senjata
actor.class.l_archer,Pemanah Ringan
actor.class.axeman,Prajurit Kapak
actor.class.guard,Penjaga
actor.class.h_axeman,Prajurit Kapak Berat
actor.class.faceless_axeman,Petarung Gerombolan Terkutuk
actor.class.h_hammerhead,Prajurit Pemukul Berat
actor.class.h_spearman,Prajurit Tombak Berat
actor.class.h_swordman,Prajurit Pedang Berat
actor.class.hammerhead,Prajurit Pemukul
actor.class.l_spearman,Prajurit Tombak Ringan
actor.class.outcast,Orang Buangan
actor.class.spearman,Prajurit Tombak
actor.class.swordman,Prajurit Pedang
actor.class.light_archer,Lvl. 3-5 Pemanah tanpa armor
actor.class.light_hammerhead,Lvl. 3-5 Pengguna Pemukul tanpa armor
actor.class.light_spearman,Lvl. 3-5 Prajurit Tombak tanpa armor
actor.class.light_axeman,Lvl. 3-5 Prajurit Kapak dengan perisai tanpa armor
actor.class.middle_archer,Lvl. 8-11 Pemanah dengan armor ringan
actor.class.middle_hammerhead,Lvl. 8-11 Pengguna Pemukul dengan armor ringan dan perisai
actor.class.middle_spearman,Lvl. 8-11 Prajurit Tombak dengan armor ringan dan perisai
actor.class.heavy_axeman,Lvl. 13-17 Prajurit Kapak dengan armor berat dan perisai
actor.class.heavy_swordman,Lvl. 13-17 Prajurit Pedang dengan armor berat dan perisai
actor.class.lord,Prajurit Pedang Bangsawan dengan armor berat dan perisai
actor.dignity.king,Penguasa
actor.events,Peristiwa
actor.events_date,Tanggal
actor.knowledge,Pengetahuan
actor.hint.battle_skill,Tingkat Keterampilan Tempur
actor.hint.crimes.caption,Kejahatan
actor.hint.injury.caption,Cedera
actor.hint.injury.pain_level,Tingkat Rasa Sakit: {pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>Ambang rasa sakit:</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* - Risiko Infeksi tetap ada
actor.hint.sin.caption,Dosa
actor.hint.sin.piety_impact,Pengaruh pada suasana hati: {piety_impact}
actor.impact_on_person,Aksi
actor.inventory,Inventaris
actor.log.today,Hari ini
actor.log.days_before,Hari yang lalu: {day}
actor.log.yesterday,Kemarin
actor.loyalty,Loyalitas {loyalty}%
menu.battle_result.win,Kemenangan!
menu.battle_result.lose,Kekalahan
menu.battle_result.deployed,Dikerahkan
menu.battle_result.died,Mati
menu.battle_result.escaped,Melarikan diri
menu.battle_result.captured,Tertangkap
actor.menu.appoint.hunt,Berburu
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,Pikiran
actor.moral,Suasana Hati
actor.motive.energy,Tidur
actor.motive.food,Makanan
actor.motive.rest,Istirahat
actor.motive.religion,Kesalehan
actor.motive.sex,Seks
actor.motive.care,Perawatan
actor.noun.adventurer,Petualang
actor.noun.depraved,Hedonis
actor.noun.fatalist,Fatalis
actor.noun.flatterer,Penjilat
actor.noun.genius,Jenius
actor.noun.introvert,Introvert
actor.noun.moron,Orang Sederhana
actor.noun.mystic,Mistik
actor.noun.narcissist,Narsisis
actor.noun.rude,Penjahat
actor.noun.shameless,Penyimpang
actor.noun.skeptic,Skeptis
actor.noun.workaholic,Pekerja Keras
actor.opinion.choose_factions.province_hint,Di peta lokal
actor.opinion.interest,Minat:
actor.opinion.interest.high,Tinggi
actor.opinion.interest.low,Rendah
actor.opinion.interest.middle,Sedang
actor.opinion.no_minds,Tidak Ada Pikiran
actor.opinion.opinion_of,"Opini tentang {name}: "
actor.opinion.opinion_of_me,"Opini {name} tentang saya: "
actor.opinion.opinion_of_third_person,"Opini {name_2} tentang {name}: "
actor.opinion.special.deadly_enemy,Musuh Bebuyutan
actor.opinion.special.enemy,Musuh
actor.opinion.special.friend,Teman
actor.opinion.special.like,Hubungan Baik
actor.opinion.special.love,Ketertarikan Romantis
actor.part_of_nature,Sifat Kepribadian
actor.punish.execute,Eksekusi
actor.punish.expel,Pembuangan
actor.punish.imprison,Tahan sebagai sandera
actor.desire,Keinginan
actor.skill.command,Perintah
actor.skill.education,Pengajaran
actor.skill.fight,Pertempuran
actor.skill.knowledge,Kecerdasan
actor.skill.management,Manajemen
actor.skill.manners,Sopan Santun
actor.skill.negotiation,Perdagangan
actor.skill.oratory,Persuasi
actor.skill.points_remain,{number} poin pengalaman diperlukan untuk mencapai level berikutnya
actor.skills,KETERAMPILAN
actor.skills_training,PELATIHAN
actor.skills.level,{level}
actor.skill_category.rhetoric,Retorika
actor.skill_category.economic,Ekonomi
actor.skill_category.philosophy,Filsafat
actor.skill_category.warcraft,Perang
actor.stata.bandit,Bandit
actor.stata.thug,Penjahat
actor.states,NEGARA
actor.strata.animal,Hewan
actor.strata.slave,Tahanan
actor.traits,NEGARA
building.hostel,Asrama
building.library,Perpustakaan
building.armorsmith,Pabrik Baju Besi
building.barracks,Barak
building.brewery,Pabrik Bir
building.caption_with_level,{building_name} Level {level}
building.castle,Aula
building.chancellery,Kanselir
building.church,Kuil
building.altar,Altar
building.coal_burner,Tungku Batu Bara
building.coal_furnace,Tungku Batu Bara
building.coal_mine,Tambang Batu Bara
building.description.burned,Bangunan ini telah hancur karena kebakaran. Hanya bisa dibongkar.
building.farm,Ladang
building.forge,Pabrik Senjata
building.hall_storage,Penyimpanan Aula
building.herbalist,Tabib
building.house,Rumah Petani
building.menu.appoint.church,KHOTBAH
building.menu.appoint.training,PELATIHAN
building.menu.appoint.gallows,HUKUMAN
building.menu.appoint.chancellery,KANSELIR
building.menu.appoint.culture,BUDAYA
building.menu.appoint.appoint_culture,mengangkat
building.menu.castle.builders,PEMBANGUN
building.menu.castle.servants,PELAYAN
building.menu.gallows.terror,Teror
building.menu.gallows.executers,ALGOJO
building.menu.in_stock,DI GUDANG
building.menu.required_resources,DIBUTUHKAN
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,PENDUDUK
building.menu.service.attendance,Kehadiran
building.menu.service.inspection,POLITIK
building.menu.service.revenue,Pendapatan
building.menu.combat_training.number_of_places,PELATIHAN SERENTAK
building.menu.sold,TERJUAL
building.menu.trader,PEDAGANG
building.menu.special_button.auto_repair,Perbaikan Otomatis
building.menu.special_button.abort,Batalkan
building.menu.special_button.destroy,Hancurkan
building.menu.special_button.relocate,Pindahkan
building.menu.special_button.repair,Perbaiki
building.menu.special_button.upgrade,Tingkatkan
building.menu.special_button.upgrade_workplace,+1 tempat kerja
building.menu.status.breakdown,Rusak
building.menu.status.need_charge,Ladang habis.
building.menu.status.burned_full,Hancur karena kebakaran.
building.menu.status.burned_partially,Sebagian terbakar.
building.menu.status.burning,Kebakaran di bangunan!
building.menu.status.church,Fanatik agama di kota: {fanatics_percent}%
building.menu.status.construction,Konstruksi sedang berlangsung.
building.menu.status.construction_template,{status} ({progress}%) Selesai
building.menu.status.demolition,Pembongkaran sedang berlangsung.
building.menu.status.extinguishing,Pemadaman kebakaran sedang berlangsung.
building.menu.status.harvest.after_tomorrow,Panen akan dilakukan lusa.
building.menu.status.harvest.n_days,Mereka akan memanen tanaman dalam {days} hari.
building.menu.status.harvest.today,Hari ini mereka akan memanen tanaman.
building.menu.status.harvest.tomorrow,Besok mereka akan memanen tanaman.
building.menu.status.no_tasks,Buat pesanan di menu Produksi.
building.menu.status.fertilize,Kesuburan: {number}%
building.menu.status.produce,Dalam Produksi: {resource} ({progress}%)
building.menu.status.raw_not_enough,Sumber daya tidak mencukupi untuk produksi.
building.menu.status.relocate,Pemindahan sedang berlangsung.
building.menu.status.repair,Perbaikan sedang berlangsung.
building.menu.status.upgrade,Peningkatan sedang berlangsung.
building.menu.status.work_time,Jam kerja dari {work_hour_begin} hingga {work_hour_end}
building.menu.status.works_fine,Bekerja Normal
building.menu.status.pig_farm_need_to_charge,Pengisian dengan Rutabaga diperlukan
building.menu.status.need_inspector,Membutuhkan manajer yang ditunjuk
building.menu.status.need_inspection,Instruksi tidak diterima
building.menu.status.need_paper_charge,Pengisian dengan Kertas diperlukan
building.menu.tavern.allow_nectar,Izinkan Nectar
building.menu.temple.donation,Donasi
building.menu.temple.priest,PASTOR
building.menu.workplace.appoint_inspector,Tugaskan
building.menu.workplace.inspection,MANAJEMEN
building.menu.workplace.priority,Prioritas
building.menu.workplace.produced_today,DIPRODUKSI HARI INI
building.menu.workplace.bonus_slave,Bonus dari tahanan: {bonus_slave}
building.menu.workplace.bonus_addicted,Bonus dari pecandu: {bonus_addicted}
building.menu.workplace.bonus_culture,Bonus dari keahlian {culture}: {bonus_culture}
building.menu.workplace.statistics,STATISTIK
building.menu.workplace.workers,PEKERJA
building.menu.workplace.workers.free,Petani
building.menu.workplace.workers.slaves,Tahanan
building.menu.workplace.addicted,Pecandu
building.menu.patrollers,Panji Patroli
building.menu.radius,Radius Patroli
building.menu.combat_max,Tingkat Tempur Maksimum
building.menu.max_pain,TINGKAT RASA SAKIT MAKSIMUM
menu.patrol_sign.description,Tempat Patroli untuk Prajurit
building.mine,Tambang
building.noble_house,Rumah Tuan
building.paper_factory,Bengkel Kertas
building.slaves_barrack,Bangsal Penjara
building.temple.preach.doubt,Khotbah Keraguan
building.temple.preach.faith,Khotbah Iman
building.farm.pig_farm_charge_abort,Batalkan Pengisian
building.farm.pig_farm_charge,Isi dengan Lobak
building.gallows.crimes,Kejahatan
building.gallows.punishments,Hukuman
building.gallows.change,Ubah
building.training_field,Lapangan Latihan
building.woodcutter,Pabrik Kayu
building.workshop,Bengkel
building.gallows,Perancah
building.market,Pasar
building.storage,Gudang
building.tavern,Tawerna
building.drug_deg,Sarang Narkoba
building.rye_farm,Ladang Gandum
building.hop_farm,Ladang Hops
building.swede_farm,Ladang Lobak
building.pig_farm,Peternakan Babi
building.mill,Kincir Angin
building.alchimestry,Laboratorium Alkimia
building.melting_furnace,Tungku Peleburan
building.patrol_sign,Patroli Malam
display_event.actor_complete_action_task_on_gm,{name} telah menyelesaikan tugas - {task_name}.
display_event.actor_abort_action_task_on_gm,{name} gagal menyelesaikan tugas.
display_event.actor_arrived_in_town_as_guest_on_gm,{name} tiba di {town_name}.
display_event.actors_married,{name_1} dan {name_2} bertunangan.
display_event.new_genius_king,Rumor: Penakluk
display_event.defence_alliance.squad_arrived,Bantuan dari {faction_name} telah tiba!
display_event.defence_alliance.squad_created,Bantuan telah dikumpulkan dan ditempatkan di bawah komando Anda!
display_event.defence_alliance.leave.time_expired,"Masa tinggal bantuan telah berakhir, mereka akan pulang."
display_event.defence_alliance.leave.battle_finished,Bantuan telah membantu Anda dan akan pulang.
display_event.defence_alliance.leave.defence_alliance_broken,"Aliansi Anda dengan {faction_name} telah dibubarkan, sehingga bantuan kembali lebih awal."
display_event.defence_alliance.leave.no_one_is_attacking_player,Anda tidak lagi dalam ancaman - bantuan akan pulang.
display_event.defence_alliance.leave.other_reason,Bantuan pulang lebih awal.
display_event.got_title,{name} telah diberikan gelar tuan.
display_event.kid_need_title,{name} akan segera membutuhkan gelar tuan yang tersedia.
display_event.storage_robbery_gold,Pencuri telah mencuri {number} emas!
display_event.squad_go_to_take_equipment,Prajurit sedang mengambil senjata mereka dari gudang. Harap tunggu sebentar...
display_event.no_servants_in_hall,Tidak ada pelayan di aula!
display_event.squad_take_all_equipment,Prajurit telah bersenjata dan siap!
display_event.horde_apeears,Kemunculan Gerombolan Terkutuk
display_event.horde_gossip,Rumor: Kultus sesat baru di negeri jauh
display_event.new_fraction,Kelahiran Rumah Bangsawan baru: {faction_name}
display_event.fraction_death,Kejatuhan Rumah Bangsawan: {faction_name}
display_event.horde_murder_faction,Gerombolan Terkutuk telah menghancurkan Rumah Bangsawan lainnya.
display_event.horde_crisis_finish,Gerombolan Terkutuk telah meninggalkan tanah Norland.
display_event.forecast,Prakiraan harga diperoleh {resource}
display_event.village_tribute,{village_name}: Membayar upeti
display_event.bandits_at_the_gate,Pasukan musuh di dekatnya!
display_event.army_at_the_gate,Pasukan musuh di dekatnya!
display_event.enemy_attack_city,Musuh melancarkan serangan!
display_event.free_lord_expired,Kontrak tuan telah berakhir.
display_event.free_lord_low_loyalty,Tuan bebas kehilangan loyalitas.
display_event.terror_lords,Teror di antara para tuan!
display_event.terror_peasants,Teror di antara para petani!
display_event.bandits_prepare_to_attack,Perampok bersiap menyerang kota Anda.
display_event.caravan_arrive,Kafilah Suci telah tiba di kota.
display_event.free_lord_arrive,Tuan bebas menunggu untuk dipekerjakan.
display_event.character_bleeding,Karakter sedang berdarah.
display_event.fire,Kebakaran telah terjadi.
display_event.slaves_hungry,Periksa di menu Keuangan bahwa Anda menyediakan cukup makanan untuk tahanan.
display_event.dummy_little_beer,Periksa di menu Keuangan bahwa Anda menjual cukup unit alkohol per hari dengan harga yang wajar.
display_event.dummy_little_food,Periksa di menu Keuangan bahwa Anda menjual cukup unit makanan per hari dengan harga yang wajar.
display_event.dummy_many_homeless,Bangun lebih banyak perumahan.
display_event.high_fanaticism_level,Khotbah Keraguan di Kuil dapat mengurangi fanatisme.
display_event.low_dummy_happiness,Perhatikan pikiran tidak bahagia yang paling sering muncul.
display_event.not_enough_barracks,Bangun lebih banyak barak.
display_event.not_enough_equipment,"Beli peralatan dari kafilah, atau buat sendiri."
display_event.not_enough_taverns,Bangun lebih banyak tawerna.
display_event.not_enough_temples,Bangun lebih banyak kuil.
display_event.too_much_unemploe,"Untuk mengurangi pengangguran, kurangi migrasi dengan menurunkan suasana hati penduduk melalui penjualan makanan berkualitas rendah, mengurangi pasokan alkohol, dan mengadakan Khotbah Keraguan di Kuil."
display_event.high_prices,Petani lebih suka membeli dari Kafilah Suci.
display_event.hired_soldiers_arrive,Prajurit bayaran telah tiba.
display_event.migrants_arrive,{number} migran telah tiba.
display_event.knowledge_interaction,{name} sedang mempelajari {knowledge}: {progress}%
display_event.book_writing,{name} sedang menulis buku {knowledge}: {progress}%
display_event.not_enough_knowledge_paper,Tidak cukup kertas untuk menulis buku: {name}
display_event.knowledge_too_hard_again,{name} tidak bisa lagi mempelajari: {knowledge}
